Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,10:14:00,10:29:10,10:43:50,10:56:20
22-23-Я ЛИНИИ,10:15:00,10:30:00,10:44:40,10:57:10
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:16:40,10:33:00,10:47:30,10:59:50
12-13-Я ЛИНИИ,10:18:50,10:34:40,10:49:40,11:01:30
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:21:40,10:37:00,10:52:00,11:03:30
1-Я И КАДЕТСКАЯ ЛИНИИ,10:23:20,10:38:00,10:53:10,11:04:30
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:24:50,10:39:40,10:54:40,11:05:30
"МЕТРО ""СПОРТИВНАЯ""",10:26:00,10:41:10,10:55:40,00:00:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:27:30,10:42:40,10:57:00,00:00:00
ЗВЕРИНСКАЯ УЛ.,10:28:50,10:43:50,10:58:40,00:00:00
ВВЕДЕНСКАЯ УЛ.,10:30:10,10:45:20,10:59:50,00:00:00
СЫТНЫЙ РЫНОК,10:31:40,10:46:30,11:00:50,00:00:00
"МЕТРО ""ГОРЬКОВСКАЯ""",10:33:10,10:47:50,11:02:00,11:13:10
ТРОИЦКАЯ ПЛ. П.С.,10:34:50,10:49:00,11:03:40,11:14:30
УЛИЦА ЧАПАЕВА,10:35:50,10:50:40,11:04:50,11:16:00
