<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,10:00:00,113700,115257,108096,112635,32
01.09.2020,10:01:00,112631,115295,107977,108568,12
01.09.2020,10:02:00,110492,115269,108051,108948,68
01.09.2020,10:03:00,110768,114969,108112,112787,67
01.09.2020,10:04:00,113211,115184,107911,112312,92
01.09.2020,10:05:00,111550,115239,107956,107975,38
01.09.2020,10:06:00,115076,115279,107952,114624,83
01.09.2020,10:07:00,108482,115184,107958,114022,88
01.09.2020,10:08:00,112107,115162,107907,110392,10
01.09.2020,10:09:00,110647,115246,108162,114306,86
01.09.2020,10:10:00,109912,115299,107903,113274,61
01.09.2020,10:11:00,112385,115179,108056,113501,82
01.09.2020,10:12:00,113993,115250,107915,109665,49
01.09.2020,10:13:00,110286,114956,108042,109626,85
01.09.2020,10:14:00,107907,115283,107907,111570,1
01.09.2020,10:15:00,114574,115158,107923,110293,57
01.09.2020,10:16:00,109698,115238,108201,110882,76
01.09.2020,10:17:00,112667,115021,108007,108259,60
01.09.2020,10:18:00,112145,115283,107920,114183,36
01.09.2020,10:19:00,110138,115173,108069,111242,39
01.09.2020,10:20:00,109540,114969,107965,110126,2
01.09.2020,10:21:00,109440,115252,107978,112965,53
01.09.2020,10:22:00,113031,115194,107959,108797,2
01.09.2020,10:23:00,109384,115213,107990,111219,1
01.09.2020,10:24:00,113536,115156,107950,115156,42
01.09.2020,10:25:00,111902,115248,107901,113407,88
01.09.2020,10:26:00,113060,115205,108013,113205,72
01.09.2020,10:27:00,114439,115272,107902,114508,80
01.09.2020,10:28:00,111831,115254,107936,110128,72
01.09.2020,10:30:00,115196,115252,108135,109057,1
01.09.2020,10:31:00,113578,115272,107961,109133,97
01.09.2020,10:32:00,110586,115159,107910,112380,64
01.09.2020,10:33:00,108108,115211,108108,110671,70
01.09.2020,10:34:00,110724,115235,107914,113934,69
01.09.2020,10:35:00,112477,115271,108042,112257,20
01.09.2020,10:36:00,110664,115209,107977,111986,23
01.09.2020,10:37:00,112373,115176,107901,114019,5
01.09.2020,10:38:00,111175,115216,108193,113509,56
01.09.2020,10:39:00,108443,115066,107901,111665,11
01.09.2020,10:40:00,110270,115185,108238,113435,18
01.09.2020,10:41:00,114338,115126,108151,111418,96
01.09.2020,10:42:00,111183,115077,108142,112388,86
01.09.2020,10:43:00,110038,115165,107937,109156,94
01.09.2020,10:44:00,114611,115285,108098,112399,94
01.09.2020,10:45:00,114934,115253,107914,113012,45
01.09.2020,10:46:00,110479,115272,108165,113217,3
01.09.2020,10:47:00,112480,115131,107963,114702,93
01.09.2020,10:48:00,114355,115077,108281,108384,46
01.09.2020,10:49:00,113747,114824,108090,109774,85
01.09.2020,10:50:00,111220,115269,108144,114684,95
01.09.2020,10:51:00,112260,115227,108088,113999,26
01.09.2020,10:52:00,110207,115160,107942,114502,25
01.09.2020,10:53:00,113696,115292,107921,113728,74
01.09.2020,10:54:00,108494,115272,107900,109504,62
01.09.2020,10:55:00,112869,115184,107936,109616,83
01.09.2020,10:56:00,111526,115278,108187,109483,3
01.09.2020,10:57:00,113361,115128,107902,110364,49
01.09.2020,10:58:00,108263,115059,108195,113240,90
01.09.2020,10:59:00,108499,115012,107931,108092,47
01.09.2020,11:00:00,111078,115287,107972,112705,94
01.09.2020,11:01:00,109544,115202,107957,108581,85
01.09.2020,11:02:00,109917,115155,108043,113925,24
01.09.2020,11:03:00,115119,115143,107959,109044,63
01.09.2020,11:04:00,112556,115259,107924,109572,64
01.09.2020,11:05:00,115147,115251,107958,114123,65
01.09.2020,11:06:00,114783,115282,108148,114195,5
01.09.2020,11:07:00,109422,115238,108159,110476,75
01.09.2020,11:08:00,109416,115267,108123,115219,28
01.09.2020,11:09:00,114786,115119,108045,114990,73
01.09.2020,11:10:00,109100,115196,108199,108749,50
01.09.2020,11:11:00,112488,115226,108120,110584,55
01.09.2020,11:12:00,114474,115280,108011,115037,22
01.09.2020,11:13:00,111306,115255,107956,110691,89
01.09.2020,11:14:00,108472,115299,107969,115299,57
01.09.2020,11:15:00,109933,115079,107987,115075,81
01.09.2020,11:16:00,108973,115269,107981,111316,60
01.09.2020,11:17:00,112961,115016,107942,112235,1
01.09.2020,11:18:00,111288,115261,107908,114373,81
01.09.2020,11:19:00,112306,115155,107950,111261,88
01.09.2020,11:20:00,114052,115192,107939,110575,39
01.09.2020,11:21:00,110797,115286,107943,108910,48
01.09.2020,11:22:00,108848,115101,107908,113900,83
01.09.2020,11:24:00,109448,115168,107920,109880,61
01.09.2020,11:25:00,109255,115250,108221,113902,35
01.09.2020,11:26:00,111820,115241,108264,110780,21
01.09.2020,11:27:00,108485,115130,107951,115103,12
01.09.2020,11:28:00,110689,115131,108192,109022,52
01.09.2020,11:29:00,110744,115181,107919,109520,86
01.09.2020,11:30:00,109602,115249,107972,110526,63
01.09.2020,11:31:00,108910,115230,108089,115199,85
01.09.2020,11:32:00,110074,115247,107933,109514,15
01.09.2020,11:33:00,112442,115297,108021,109385,72
01.09.2020,11:34:00,108792,115285,108035,109895,27
01.09.2020,11:35:00,113130,115188,107920,112986,20
01.09.2020,11:36:00,113238,115277,108061,112300,80
01.09.2020,11:37:00,109156,115226,107919,110232,37
01.09.2020,11:38:00,111113,115298,108035,115221,35
01.09.2020,11:39:00,108408,114948,108124,108585,13
01.09.2020,11:40:00,109904,115185,107929,110582,9
01.09.2020,11:41:00,109905,114660,107985,113002,28
01.09.2020,11:42:00,113835,115266,107940,107979,44
01.09.2020,11:43:00,110707,115238,107981,110565,58
01.09.2020,11:44:00,110852,115288,107924,107924,36
01.09.2020,11:45:00,108981,115003,107987,108815,7
01.09.2020,11:46:00,111962,115236,107998,109897,35
01.09.2020,11:47:00,114058,115243,108056,110144,11
01.09.2020,11:48:00,108071,115223,107954,110252,76
01.09.2020,11:49:00,111487,115274,107909,110551,6
01.09.2020,11:50:00,113945,115127,107949,109853,63
01.09.2020,11:51:00,110036,115146,107913,113345,81
01.09.2020,11:52:00,114836,115177,108360,112189,33
01.09.2020,11:53:00,108466,115194,107940,111463,56
01.09.2020,11:54:00,113771,115272,108094,109232,32
01.09.2020,11:55:00,113583,115291,107954,112879,60
01.09.2020,11:56:00,111943,115298,108026,110151,91
01.09.2020,11:57:00,110533,115276,107988,111664,76
01.09.2020,11:58:00,114324,115191,107933,109109,20
01.09.2020,11:59:00,110749,115213,108010,113177,63
01.09.2020,12:00:00,111211,115089,107962,113764,95
01.09.2020,12:01:00,108955,115152,108046,113975,10
01.09.2020,12:02:00,111438,114979,108000,110177,69
01.09.2020,12:03:00,108924,114776,107937,111191,9
01.09.2020,12:04:00,114724,115181,107966,112241,27
01.09.2020,12:05:00,108724,115197,107986,109270,65
01.09.2020,12:06:00,110097,114842,107900,108103,26
01.09.2020,12:07:00,112194,115275,108009,108494,20
01.09.2020,12:08:00,107934,115256,107934,114763,37
01.09.2020,12:09:00,112763,115092,107989,111068,81
01.09.2020,12:10:00,109274,115299,107911,109586,80
01.09.2020,12:11:00,113477,115019,107947,110776,88
01.09.2020,12:12:00,111418,115224,107954,114349,80
01.09.2020,12:13:00,110456,115268,107942,114716,93
01.09.2020,12:14:00,115197,115269,108240,110191,70
01.09.2020,12:15:00,113995,114740,107962,113864,3
01.09.2020,12:16:00,110496,114857,108158,114432,46
01.09.2020,12:17:00,114286,115011,108031,110846,8
01.09.2020,12:18:00,109924,115089,107944,110433,95
01.09.2020,12:19:00,113622,115279,107907,112075,76
01.09.2020,12:20:00,110888,115142,107902,108061,89
