<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180913,100000,105890.0000000,107050.0000000,105890.0000000,106970.0000000,1725
20180913,110000,106970.0000000,107150.0000000,106820.0000000,107030.0000000,1626
20180913,120000,107020.0000000,107410.0000000,106980.0000000,107240.0000000,1905
20180913,130000,107270.0000000,107510.0000000,107270.0000000,107430.0000000,721
20180913,140000,107550.0000000,108110.0000000,107550.0000000,107930.0000000,1632
20180913,150000,107950.0000000,108270.0000000,107730.0000000,108180.0000000,934
20180913,160000,108200.0000000,108740.0000000,108080.0000000,108450.0000000,1946
20180913,170000,108480.0000000,108540.0000000,106770.0000000,107300.0000000,3918
20180913,180000,107290.0000000,107860.0000000,106810.0000000,107020.0000000,1831
20180913,190000,107030.0000000,107520.0000000,107000.0000000,107270.0000000,709
20180913,200000,107320.0000000,107410.0000000,107180.0000000,107200.0000000,225
20180913,210000,107170.0000000,107660.0000000,107110.0000000,107510.0000000,350
20180913,220000,107510.0000000,107580.0000000,107170.0000000,107260.0000000,222
20180913,230000,107280.0000000,107280.0000000,107140.0000000,107280.0000000,155
